Source,Target,PValue
Pml,Morc3,5.361686003813469e-05
Tsr1,Zc3h8,5.3733454834726755e-05
Hnrnpk,Parg,5.3800839561873175e-05
Cdk2,Rbbp8,5.3935829693149475e-05
App,Cpd,5.676355831690902e-05
Nup43,Trim28,5.681749665012775e-05
Uhrf1,Alyref,5.7208066838749825e-05
Impdh2,Top2a,5.7576399523009754e-05
Ets1,Qk,5.95066387948038e-05
Ilf2,Thumpd1,6.0477938657999015e-05
H2-Ab1,Ciita,6.341978732803221e-05
Ncapd2,Tmpo,6.34961183643919e-05
Drap1,Sqstm1,6.42012410750664e-05
Mcm6,Rfc1,6.514807840513473e-05
Msh6,Top2a,6.528077211883391e-05
Shroom3,Klf6,6.54353252435177e-05
Snrpa1,Tfdp1,6.861352042848975e-05
Sp100,Trim30d,6.881461708343572e-05
Fbxo5,Klf9,6.884959275283224e-05
Sp100,Mx1,6.893633574160385e-05
Trim16,Mapkapk3,7.050573290214012e-05
Cdca7,Zbtb20,7.073517067062358e-05
Ddx41,Stx18,7.208721700180738e-05
Rnps1,Set,7.352945090389527e-05
Trip13,Mxd3,7.381264149830993e-05
Wdr43,Hnrnpab,7.413852495092636e-05
Pbk,Foxm1,7.428522043287879e-05
Kif22,Foxm1,7.438564644730146e-05
Melk,Foxm1,7.438564644730146e-05
Ncaph,Rbbp8,7.457485311078488e-05
Rpa2,Psmc3ip,7.61298010000284e-05
