0,1,2
610,Adora2a,ENSMUSG00000020178
611,Adprhl1,ENSMUSG00000031448
612,Adprhl2,ENSMUSG00000042558
613,Adra1b,ENSMUSG00000050541
614,Adrb1,ENSMUSG00000035283
615,Adrm1,ENSMUSG00000039041
616,Adsl,ENSMUSG00000022407
617,Adss,ENSMUSG00000015961
618,Adssl1,ENSMUSG00000011148
619,Aen,ENSMUSG00000030609
620,Aes,ENSMUSG00000054452
621,Afap1l1,ENSMUSG00000033032
622,Afg3l2,ENSMUSG00000024527
623,Aftph,ENSMUSG00000049659
624,Aga,ENSMUSG00000031521
625,Agap3,ENSMUSG00000023353
626,Aggf1,ENSMUSG00000021681
627,Agl,ENSMUSG00000033400
628,Agpat2,ENSMUSG00000026922
629,Agpat3,ENSMUSG00000001211
630,Agrn,ENSMUSG00000041936
631,Agt,ENSMUSG00000031980
632,Agtr1a,ENSMUSG00000049115
633,Ahcy,ENSMUSG00000027597
634,Ahnak,ENSMUSG00000069833
635,Ahsg,ENSMUSG00000022868
636,Aifm1,ENSMUSG00000036932
637,Aifm2,ENSMUSG00000020085
638,Aim2,ENSMUSG00000037860
639,Aimp1,ENSMUSG00000028029
640,Aimp2,ENSMUSG00000029610
641,Ak1,ENSMUSG00000026817
642,Ak2,ENSMUSG00000028792
643,Ak3,ENSMUSG00000024782
644,Akap1,ENSMUSG00000018428
645,Akap12,ENSMUSG00000038587
646,Akap13,ENSMUSG00000066406
647,Akap6,ENSMUSG00000061603
648,Akap8,ENSMUSG00000024045
649,Akap8l,ENSMUSG00000002625
650,Akirin1,ENSMUSG00000023075
651,Akr1b3,ENSMUSG00000001642
652,Akr1c13,ENSMUSG00000021213
653,Akr1c14,ENSMUSG00000033715
654,Akr7a5,ENSMUSG00000028743
655,Akt1,ENSMUSG00000001729
656,Akt1s1,ENSMUSG00000011096
657,Akt2,ENSMUSG00000004056
658,Aktip,ENSMUSG00000031667
659,Alas2,ENSMUSG00000025270
660,Alcam,ENSMUSG00000022636
661,Aldh16a1,ENSMUSG00000007833
662,Aldh18a1,ENSMUSG00000025007
663,Aldh1a1,ENSMUSG00000053279
664,Aldh1a2,ENSMUSG00000013584
665,Aldh3a2,ENSMUSG00000010025
666,Aldh3b1,ENSMUSG00000024885
667,Aldh4a1,ENSMUSG00000028737
668,Aldh5a1,ENSMUSG00000035936
669,Aldh6a1,ENSMUSG00000021238
670,Aldh7a1,ENSMUSG00000053644
671,Aldh9a1,ENSMUSG00000026687
672,Alg12,ENSMUSG00000035845
673,Alg5,ENSMUSG00000036632
674,Alg8,ENSMUSG00000035704
675,Alkbh2,ENSMUSG00000044339
676,Alkbh7,ENSMUSG00000002661
677,Alox5ap,ENSMUSG00000060063
678,Alpk2,ENSMUSG00000032845
679,Alpk3,ENSMUSG00000038763
680,Alpl,ENSMUSG00000028766
681,Alyref,ENSMUSG00000025134
682,Amacr,ENSMUSG00000022244
683,Ambra1,ENSMUSG00000040506
684,Amdhd2,ENSMUSG00000036820
685,Amigo1,ENSMUSG00000050947
686,Amotl1,ENSMUSG00000013076
687,Amotl2,ENSMUSG00000032531
688,Ampd2,ENSMUSG00000027889
689,Ampd3,ENSMUSG00000005686
690,Anapc1,ENSMUSG00000014355
691,Anapc11,ENSMUSG00000025135
692,Anapc4,ENSMUSG00000029176
693,Anapc5,ENSMUSG00000029472
694,Ang,ENSMUSG00000072115
695,Angpt1,ENSMUSG00000022309
696,Angptl2,ENSMUSG00000004105
697,Ank,ENSMUSG00000022265
698,Ank1,ENSMUSG00000031543
699,Ankfy1,ENSMUSG00000020790
700,Ankib1,ENSMUSG00000040351
