GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Zfp654,0.3837542,0.25975913,0.3837542,0.25975916,0.3837542,0.25975913,0.38375413,0.25975916,0.38375413,0.25975913,0.38375413,0.25975913,0.3837542,0.25975916
Zfp661,0.73648024,0.14872906,0.7360196,-0.16086157,0.73601973,-0.16086154,0.73601973,-0.16086154,0.73601973,-0.16086157,0.73601973,-0.16086155,0.6908984,-0.06647655
Zfp664,0.16986102,0.044030085,0.16986099,0.044030085,0.16986105,0.0440301,0.16986099,0.044030093,0.16986099,0.044030085,0.16986102,0.04403007,0.16986102,0.04403007
Zfp667,0.5477943,0.1329295,0.5245252,-0.12517717,0.52641255,-0.0681747,0.5245253,-0.12517716,0.5245252,-0.1251772,0.52526003,-0.10298462,0.52976084,-0.069792435
Zfp668,0.7260561,0.11389917,0.76179326,-0.046908747,0.7238711,-0.271836,0.7251997,-0.2779108,0.7251997,-0.2779107,0.71854645,-0.29265177,0.7243303,-0.271151
Zfp672,0.51357687,0.1342623,0.5129234,-0.2657469,0.5129234,-0.26574692,0.5129235,-0.26574698,0.5129235,-0.26574695,0.51292336,-0.26574695,0.51292354,-0.26574692
Zfp689,0.66248024,-0.4156031,0.9296843,0.1128542,0.9253031,0.12136933,0.93064725,0.13275461,0.93147683,0.1578146,0.93147695,0.15781455,0.93147695,0.15781447
Zfp691,0.96680653,0.51727796,0.9668063,0.517278,0.9668064,0.51727796,0.9668064,0.51727796,0.9668064,0.517278,0.96680653,0.517278,0.9668063,0.517278
Zfp692,0.020809293,0.06572079,0.020809263,0.065720804,0.020809263,0.065720804,0.020809293,0.06572081,0.020809293,0.06572081,0.020809293,0.06572081,0.020809293,0.06572079
Zfp697,0.19883811,0.1666276,0.19883811,0.1666276,0.19883811,0.1666276,0.19883811,0.1666276,0.19883808,0.1666276,0.19883811,0.1666276,0.19883811,0.1666276
Zfp710,0.14907461,0.07093245,0.14245522,-0.15902294,0.14440274,-0.10020245,0.14245522,-0.15902296,0.14245522,-0.15902296,0.14376825,-0.11936618,0.14712709,0.012111923
Zfp711,1.258146,0.5851967,1.251784,-0.22215323,1.263777,-0.19882762,1.2707431,-0.20015296,1.2828147,-0.13683373,1.2617406,-0.24151896,1.2783482,-0.26923975
Zfp74,0.4395641,0.12754956,0.43152446,-0.10083839,0.43217295,-0.081248894,0.43152428,-0.10083839,0.4315244,-0.1008384,0.4315244,-0.10083837,0.42775136,-0.10052643
Zfp746,0.3884859,0.13734128,0.3882618,0.13057211,0.38826174,0.13057221,0.38826174,0.1305722,0.38826174,0.13057218,0.3882618,0.13057214,0.38700128,0.13302374
Zfp750,1.2231089,0.3440887,1.2211672,0.45589232,1.2211671,0.45589224,1.2211671,0.45589232,1.2211671,0.45589238,1.2211673,0.45589238,1.2211671,0.45589232
Zfp768,0.045175582,-1.279546,0.21584582,0.09621552,0.2158458,0.09621551,0.2158458,0.09621549,0.21584582,0.09621547,0.2158458,0.096215494,0.2158458,0.09621549
Zfp770,0.2585268,0.10464636,0.242239,-0.12659141,0.24223906,-0.12659143,0.25544643,-0.11765607,0.25544637,-0.11765605,0.242239,-0.12659144,0.2694623,-0.1388998
