GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Lhx2,-0.26744002,0.20535626,-0.021182097,-0.12970972,0.026502598,0.26002535,-0.11464616,0.0383529,0.2204811,0.41855496
Lhx5,-0.043166198,0.32463634,-0.4743551,-0.7275421,-0.24705628,0.35234272,-0.5505135,-0.87821543,-0.1446974,0.3620628
Lhx6,-0.17657012,0.2996376,-0.15573692,0.48396927,0.2192536,0.25752768,0.059182324,0.5010511,0.0061229095,0.6526727
Lhx8,0.03486048,0.4086221,-0.31121835,0.3209976,-0.18442383,0.40370533,-0.3577552,-0.29501817,0.35253584,-0.5183984
Lmx1B,-0.16890636,-0.3988163,-0.10409366,-0.51138914,-0.5773268,-0.84758157,-0.39893097,0.23620053,-0.35289228,-0.4887107
Mafb,-0.25456044,-0.25198755,-0.41754484,-0.08904594,0.10892636,0.7621827,-0.18180451,-0.42667165,0.24266127,0.39895216
Mafg,0.37017003,0.20563045,0.2786404,-0.5876656,0.6013061,0.3511585,0.6207379,-0.3651318,0.9881511,0.2853597
Mafk,0.21718472,-0.30584306,-0.013975479,-0.7239349,0.39122015,-0.500804,-0.084253736,-0.8647773,0.05682195,0.4371277
Max,0.4547721,0.16124898,0.49204847,-0.52645856,-0.4491678,-0.7886383,0.5117678,-0.5164181,-0.42306793,-0.40349415
Maz,0.4384999,0.03579886,0.50537276,0.2772621,0.25113174,-0.23868452,0.44980663,0.34299502,0.51456624,-0.41717106
Mecom,-0.067119114,0.0057208575,0.23642302,-0.16624434,-0.07511907,-0.17476816,0.2651915,0.45139524,0.13161749,0.18451346
Mecp2,0.41432744,-0.18759233,0.26406372,-0.11680797,-0.071614854,-0.6060417,0.32535043,-0.10297294,-0.6965995,-0.4673912
Mef2D,0.52532554,0.33435792,-0.28734794,-0.90697515,0.4091036,0.36577275,-0.23776895,-1.1892076,-0.2562956,-0.14553829
Meis1,-0.52878195,0.25636068,-0.09889384,0.57405806,-0.1039624,0.16489974,-0.076025955,-0.19993092,-1.0773984,-0.3781199
Meis3,-0.34565547,0.28076476,-0.5112494,-0.093489766,-0.47065693,0.17574134,-0.56458485,0.6309773,0.057776667,0.56560737
Mesp1,-0.40421075,-0.723501,-0.24828959,0.22122304,-0.19349778,0.4394603,-0.3013979,-0.02250475,-0.24877208,-0.48250902
Mixl1,-0.27493355,0.15096469,-0.25276038,0.4255736,-0.099180706,0.58875144,-0.11788868,0.40345207,-0.34415615,0.015860287
Mlx,0.4629093,-0.33444163,0.8728473,-0.25396872,0.5997157,-0.48773587,1.0585929,0.14016542,0.7402289,0.1719064
Mxd4,-0.23220861,-0.52030146,-0.25218388,0.747465,-0.20524433,0.32493186,-0.28697002,0.72940636,-0.4265207,-0.053998414
Mxi1,-0.3118074,-0.55184424,-0.29047945,0.42032245,-0.7926095,-0.45515472,-0.5245649,0.46850315,-0.32421455,-0.31094515
Myb,0.089052446,0.5808091,0.20710886,0.49960065,0.16334042,0.93377966,0.28073514,0.6743302,0.10878983,0.82853353
Mybl2,0.16242193,0.361121,0.28736135,0.8818923,0.45923364,0.8234379,0.16560125,0.8692313,0.3225191,0.97071356
Mycn,0.15070389,-1.6532235,-0.042916983,0.09610003,0.59331137,-0.4181849,-0.09484237,-0.17049545,-0.291731,-0.16287386
