Genesymbol	0	1	2	3	4	5	6
Gli3	11.37171	12.49636667	10.43459	6.080143333	4.035443333	3.138423333	4.94618
Glis2	30.1728	22.08406667	17.4223	9.60064	13.45826667	12.6981	10.72629333
Glis3	9.575216667	0.763461	0.345007	0.431451333	0.302320733	0.485512333	1.180697
Gm98	1.003109	0.301790333	0.919963667	4.053083333	15.40033333	14.95223333	15.36976667
Gmeb1	11.0178	14.48786667	13.81496667	15.54126667	16.0949	14.8899	19.02863333
Gmeb2	9.249736667	10.84426667	11.61080333	10.61168	10.71965	9.692126667	12.82766667
Gon4l	4.400853333	7.541386667	8.9669	10.16744	10.29822667	8.785423333	11.3645
Gpbp1	57.1659	64.644	65.27826667	63.1401	54.88756667	68.14553333	76.8407
Grhl1	0.140716433	3.231266667	13.98216667	18.91356667	9.906853333	8.714903333	2.931126667
Grhl2	0.0	0.644275333	11.78262667	18.46053333	14.6275	9.38861	12.31563333
Grhl3	0.142486	1.338353333	4.419016667	5.304353333	5.267336667	5.7168	10.35273333
Grlf1	31.6914	33.4539	31.2788	25.5553	21.45736667	17.63406667	21.63793333
Gtf2a1	8.825726667	11.6852	10.73520667	10.10991	8.687706667	9.73811	16.83766667
Gtf2b	42.16066667	37.3863	28.18496667	34.89653333	30.0731	24.7758	35.08646667
Gtf2e1	12.73896667	17.93866667	20.75163333	21.93463333	26.2594	28.1794	29.90303333
Gtf2e2	33.30873333	43.83413333	42.41843333	49.62696667	47.32936667	52.8271	58.8285
Gtf2f1	75.9326	54.5713	52.83393333	62.87813333	74.21803333	76.87853333	61.1299
Gtf2f2	28.22563333	41.8278	38.79243333	51.90803333	52.4022	58.04466667	44.19736667
Gtf2h5	91.29676667	72.98593333	64.64453333	66.9259	58.56686667	62.98126667	52.95156667
Gtf2i	67.12456667	100.4447667	95.7896	90.56026667	81.959	72.1099	75.6302
Gtf2ird1	14.46823333	13.72783333	14.66253333	15.14053333	18.02766667	18.73493333	18.58603333
Gtf3a	34.51413333	63.73573333	46.54786667	41.78293333	37.3068	43.13113333	37.42136667
Gzf1	10.62567667	12.70503333	11.70233333	8.397033333	9.723406667	10.42873333	11.99776667
Hbp1	28.05483333	22.74223333	24.6167	19.4442	21.05096667	26.53213333	43.5372
Hdac1	28.44606667	34.82923333	32.3059	30.73483333	32.40326667	34.7353	46.32373333
Hdac2	113.5786667	151.1823333	161.1646667	153.77	130.428	139.2976667	102.5358333
Hdac3	54.63766667	60.9234	55.69423333	57.66286667	55.88826667	50.37516667	41.49263333
Hdac4	5.429863333	9.289016667	11.84363333	13.57616667	13.07506667	14.17703333	9.262966667
Hdgf	275.934	527.8223333	463.7276667	490.986	425.275	422.8353333	364.2456667
Hells	26.1579	128.0233333	113.8565333	109.5830667	76.34113333	110.9609667	277.3846667
Hes1	73.0755	10.9649	14.90243333	29.6229	31.70263333	40.77026667	35.83233333
Hes6	16.94403333	36.40436667	15.8427	15.86446667	18.8701	17.84343333	13.44606
Hhex	0.362613333	5.325526667	2.557996667	1.208906667	1.912325667	2.97002	7.068553333
Hic1	16.99956667	0.545580667	0.357082333	0.166986	0.555954	0.920758	0.314453333
Hic2	0.751487	3.365593333	5.332083333	7.428526667	8.989723333	8.964	15.7278
Hif1a	56.6548	40.6787	40.11203333	42.2564	43.91856667	35.9609	38.28876667
Hif3a	0.0	0.113031167	1.166956667	0.900259333	4.589416667	4.917133333	2.511913333
Hinfp	6.374023333	9.395693333	8.732716667	7.892753333	7.159063333	6.18761	9.979743333
Hivep1	5.722503333	7.052766667	9.42507	7.30256	6.425843333	5.56984	4.45148
Hivep2	4.944923333	2.675846667	2.136576667	0.826252667	1.20676	1.426353333	2.08467
Hltf	8.405573333	13.09703333	17.10913333	20.7754	18.72133333	18.4945	18.53906667
Hlx	4.369056667	0.485016	0.098558967	0.097722	0.012006533	0.0800944	0.070873667
Hmbox1	11.156	15.13656667	21.53603333	16.84826667	16.60533333	14.0485	14.1077
Hmg20a	12.89016667	19.29026667	21.5904	18.4956	19.03526667	16.31186667	14.38176667
Hmg20b	73.66676667	45.67513333	42.24926667	37.3545	38.0163	43.45893333	30.52663333
