Source,Target
Klf5,Smad1
Klf5,Elf1
Klf5,Tnfaip3
Krt19,Myb
Krt19,Trim16
Krt19,Mecom
Krt19,Mafg
Krt19,Klf6
Krt19,Fosl2
Krt19,Atf5
Krt19,Grhl2
Krt19,Ets2
Krt19,Tnfaip3
Krt20,Ppard
Krt20,Sox9
Krt20,Esrra
Krt20,Satb2
Krt20,Atf5
Krt20,Lass6
Krt20,Ascl2
Krt20,Smarca2
Krt20,Ovol2
Krt20,Zfp281
Krt7,Maf1
Krt7,Dhx33
Krt7,Zbtb8a
Krt8,Sox9
Krt8,Nr5a2
Krt8,Atf5
Krt8,Foxa2
Krt8,Tfcp2l1
Krt8,Cdkn2a
Krt8,Zfp217
Krtcap3,Plagl2
Krtcap3,Atf5
Krtcap3,Ovol2
Krtcap3,Grhl2
Krtcap3,Ets2
Krtcap3,Creb3l1
Lad1,Ppard
Lad1,Sox9
Lad1,Esrra
Lad1,Plagl2
Lad1,Satb2
Lad1,Lass6
Lad1,Ascl2
Lad1,Zfp281
Lamb3,Trim16
Lamb3,Hopx
Liph,Myb
Liph,Trim16
Liph,Mafg
Liph,Fosl2
Liph,Atf5
Liph,Ascl2
Liph,Relb
Liph,Elf1
Liph,Tnfaip3
Llgl2,Sarnp
Llgl2,Tfcp2l1
Mal2,Hes1
Mal2,Foxa2
Mansc1,Tfcp2l1
Mansc1,Smad1
Mansc1,Tnfaip3
Mapk13,Myb
Mapk13,Plagl2
Mapk13,Fosl2
Mapk13,Atf5
Mapk13,Ascl2
Mapk13,Jarid2
Mapk13,Grhl2
Marveld3,Nfic
Marveld3,Foxa2
Marveld3,Arid5b
Marveld3,Ovol2
Marveld3,Zfp281
Mfsd4,Tcf7l2
Mfsd4,Ppard
Mfsd4,Rcor1
Mfsd4,Satb2
Mfsd4,Tfcp2l1
Mfsd4,Gm98
Mfsd4,Grhl2
Mfsd4,Creb3l1
Mfsd4,Smad1
Mfsd6,Satb2
Mfsd6,Tfcp2l1
Mfsd6,Gm98
Mfsd6,Smad1
Mgat4a,Stat5b
Mgat4a,Plagl2
Mgat4a,Atf5
Mgat4a,Lass6
Mgat4a,Ascl2
Mgat4a,Grlf1
Mgat4a,Jarid2
Mgat4a,Ovol2
Mgat4a,Grhl2
Mgat4a,Zfp281
Mgat4a,Zfp239
Mgst2,Myb
Mgst2,Mafg
Mgst2,Fosl2
Mgst2,Atf5
Mgst2,Ascl2
Mgst2,Jarid2
Mkrn1,Nfic
Mkrn1,Ets2
Myb,Me1
Myb,Cdh2
Myb,Abcb1a
Myb,Acss1
Myb,Atp11b
Myb,Camk2d
Myb,Casp2
Myb,Cdc14a
Myb,Cdca7
Myb,Cox7a1
Myb,Crip1
Myb,Elf1
Myb,Galnt6
Myb,Lbr
Myb,Lrig3
Myb,Lrmp
Myb,Ltb
Myb,Ly75
Myb,Maoa
Myb,Mbnl3
Myb,Nt5c
Myb,Pglyrp1
Myb,Plac8
Myb,Plcb3
Myb,Plcd1
Myb,Pld1
Myb,Pycard
Myb,Rbl1
Myb,Rps6ka1
Myb,Sfn
Myb,Slc12a2
Myb,Slc25a24
Myb,Slc26a2
Myb,Sri
Myb,St14
Myb,Stk17b
Myb,Tmem54
Myb,Tspan8
Myb,Usp43
Myb,Vasp
Myb,Zdhhc13
Myb,Satb2
Myb,Ascl2
Myb,Jarid2
Myh11,Gli1
Myh11,Wnt5a
Myh14,Trim16
Myh14,Sox13
Myh14,Hopx
Myh14,Thap1
Myh14,Zfp367
Myh14,Fosl2
