TF	Gene	Input
Irf6	Cgref1	1
Irf6	Chdh	1
Irf6	Cryl1	1
Irf6	Dpp4	1
Irf6	Dsc2	1
Irf6	Ephb2	1
Irf6	Evpl	1
Irf6	Fam102a	1
Irf6	Fam83g	1
Irf6	Fgd4	1
Irf6	Gale	1
Irf6	Gjb2	1
Irf6	Grtp1	1
Irf6	Hook1	1
Irf6	Hook2	1
Irf6	Igsf9	1
Irf6	Inadl	1
Irf6	Ipmk	1
Irf6	Itgb4	1
Irf6	Krt18	1
Irf6	Krt7	1
Irf6	Krt8	1
Irf6	Krtcap3	1
Irf6	Lad1	1
Irf6	Lama3	1
Irf6	Llgl2	1
Irf6	Lrba	1
Irf6	Mal2	1
Irf6	Mansc1	1
Irf6	Mapk13	1
Irf6	Marveld2	1
Irf6	Marveld3	1
Irf6	Mpzl2	1
Irf6	Mtap7	1
Irf6	Myo1a	1
Irf6	Myo6	1
Irf6	Nipal1	1
Irf6	Ociad2	1
Irf6	Ocln	1
Irf6	Ovol1	1
Irf6	Pard6b	1
Irf6	Pawr	1
Irf6	Pcbd1	1
Irf6	Pcdh1	1
Irf6	Perp	1
Irf6	Pkp3	1
Irf6	Plek2	1
Irf6	Pls1	1
Irf6	Prss8	1
Irf6	Ptpn3	1
Irf6	Rab25	1
Irf6	Rassf6	1
Irf6	Rassf7	1
Irf6	Rbm47	1
Irf6	Rhpn2	1
Irf6	Ripk4	1
Irf6	Rnf128	1
Irf6	Sdcbp2	1
Irf6	Smagp	1
Irf6	Spink3	1
Irf6	Spint1	1
Irf6	Spint2	1
Irf6	St14	1
Irf6	Stap2	1
Irf6	Stard10	1
Irf6	Sult2b1	1
Irf6	Susd2	1
Irf6	Tjp3	1
Irf6	Tmc4	1
Irf6	Tmem125	1
Irf6	Tmem20	1
Irf6	Tmem238	1
Irf6	Tmem30b	1
Irf6	Tmem54	1
Irf6	Tmem8	1
Irf6	Tnk1	1
Irf6	Tspan8	1
Irf6	Tuft1	1
Irf6	Uqcrc2	1
Irf6	Ush1c	1
Itgb4	Tcf7l2	1
Itgb4	Ppard	1
Itgb4	Klf5	1
Itgb4	Esrra	1
Itgb4	Satb2	1
Itgb4	Tfcp2l1	1
Itgb4	Gtf2ird1	1
Itgb4	Zfp281	1
Kcnk1	Mafg	1
Kcnk1	Atf5	1
Kcnk1	Tfcp2l1	1
Kcnk1	Creb3l1	1
Kcnk1	Zfp217	1
Kcnn4	Myb	1
Kcnn4	Nfkb1	1
Kcnn4	Ppard	1
Kcnn4	Ikzf1	1
Kcnn4	Plagl2	1
Kcnn4	Satb2	1
Kcnn4	Ascl2	1
Kcnn4	Grlf1	1
Kcnn4	Tfcp2l1	1
Kcnn4	Ovol2	1
Kcnn4	Runx1	1
Kcnn4	Tnfaip3	1
Klf4	Trim16	1
Klf4	Aldh7a1	1
Klf4	Rcl1	1
Klf4	Qprt	1
Klf4	Dhtkd1	1
Klf4	Crip1	1
Klf4	Ezr	1
Klf4	Itga6	1
Klf4	Klf5	1
Klf4	Serpinb6a	1
Klf4	Tmc4	1
Klf4	Tspan8	1
Klf4	Klf6	1
Klf4	Fosl2	1
Klf4	Fos	1
Klf4	Gzf1	1
Klf4	Mlxip	1
Klf4	Ets2	1
Klf4	Creb3l1	1
Klf4	Smad4	1
Klf4	Tnfaip3	1
Klf5	Myb	1
Klf5	Tfcp2	1
Klf5	Lifr	1
Klf5	0610010O12Rik	1
Klf5	Abcb1a	1
Klf5	Aim1l	1
Klf5	Ascl2	1
Klf5	Atp1b1	1
Klf5	BC046404	1
Klf5	Camk2d	1
Klf5	Cdkn2b	1
Klf5	Dcbld1	1
Klf5	Evpl	1
Klf5	Fhdc1	1
Klf5	Fzd5	1
Klf5	Gdpd1	1
Klf5	Gjb3	1
Klf5	Igsf9	1
Klf5	Itpkc	1
Klf5	Itpr3	1
Klf5	Krt19	1
Klf5	Krt20	1
Klf5	Krtcap3	1
Klf5	Lad1	1
Klf5	Liph	1
Klf5	Lpin3	1
Klf5	Lrig3	1
Klf5	Maoa	1
Klf5	Mapk13	1
Klf5	Marveld3	1
Klf5	Me2	1
Klf5	Mgst2	1
Klf5	Myo1a	1
Klf5	Ocln	1
Klf5	Oit1	1
Klf5	Ovol1	1
Klf5	Ovol2	1
Klf5	Pak1	1
Klf5	Pak4	1
Klf5	Pkp3	1
Klf5	Plcb3	1
Klf5	Plek2	1
Klf5	Plekhh1	1
Klf5	Pls1	1
Klf5	Prss32	1
Klf5	Pycard	1
Klf5	Rab25	1
Klf5	Rassf7	1
Klf5	Ripk4	1
