source,target,p-value,model
Tmf1,Trmt2b,1.0476072009280752e-22,1
Rxrg,Pacsin3,1.139908923468635e-22,1
Rxrg,Apobec2,1.379467892820128e-22,-1
Hmgb1,Rpl13a,1.5809504520535492e-22,-1
Zbtb20,Fxyd1,1.6586543393164017e-22,-1
Rfx1,Spata2,1.8933273625044794e-22,-1
Zbtb20,Lims2,1.9409739668172767e-22,-1
Pcna,Ppia,2.154954463710259e-22,-1
Rela,Icam1,2.1566991537211004e-22,1
E2f3,Tacc1,2.246397397389764e-22,-1
Sox7,Plvap,2.3334870855773215e-22,-1
Tada2a,Kars,2.4718951688100075e-22,-1
Foxm1,Cdc45,2.544936761752217e-22,-1
Hnrnpk,Psmb4,2.9377842792454994e-22,-1
Rxrg,Asb8,3.148263507268535e-22,-1
Apex1,Snrpa1,3.5648564424950604e-22,-1
Apex1,Wdr75,4.1413934407006463e-22,-1
Rxrg,Rad23a,4.591849526780341e-22,-1
Top2a,Trip13,4.857452417767467e-22,-1
Rbbp5,Rbmx2,4.872532334366075e-22,-1
Foxm1,Aurkb,4.95833065661431e-22,-1
Pcna,Hmgb3,5.039679971756674e-22,-1
Taf1b,Gpbp1,5.196428291018242e-22,1
Gpbp1,Taf1b,5.196428291018242e-22,1
Sp1,Ninj1,5.848807862467081e-22,-1
Dnmt1,Racgap1,6.7610955594480765e-22,-1
Rarg,Cldn5,6.805200075570125e-22,1
Sphk1,Serpinb6b,8.314897525348428e-22,-1
Rbmxl1,Uba2,8.414850621232327e-22,1
Ifi204,Ms4a6d,8.467831223485937e-22,-1
Trim30a,AB124611,9.129038167226653e-22,-1
Tbx2,Trib2,9.721679587495241e-22,-1
Foxm1,Asf1b,9.959163954889463e-22,-1
Naca,Rps11,1.048572349323105e-21,1
Ppp1r8,Usp1,1.0533855281086116e-21,-1
Pou2f2,Sp100,1.083837255523386e-21,-1
Pou2f2,Cd86,1.099316699893334e-21,-1
Nr0b2,Slc38a3,1.1419309778258994e-21,-1
Apex1,Mcm4,1.302569590637464e-21,-1
Nolc1,Ppih,1.5037208988258195e-21,-1
Nfic,Gys1,1.6267451834478576e-21,-1
Mbd2,Aktip,1.7171303287174795e-21,-1
Prdm4,Nup93,1.8167496409632046e-21,1
Ikzf1,Fat1,2.2945444013822626e-21,-1
Sox7,Lmod2,2.5537204251868486e-21,1
Aebp2,Noc2l,2.6574869682834142e-21,-1
Fubp1,Ranbp2,2.95970134190023e-21,-1
Pcna,Kif11,3.989163512702624e-21,-1
Foxm1,Cep55,4.2950040820711725e-21,-1
Top2a,Rbl1,4.871524979296665e-21,-1
Ppargc1a,Apoo,5.252732736211741e-21,-1
Smyd1,Fastk,5.473621051609498e-21,-1
Top2a,Plk4,5.588102540866442e-21,-1
Ppp1r8,Kif23,6.441916677239725e-21,-1
Elf1,Casp1,6.855902397145296e-21,-1
Rxrg,Itgb1bp2,7.020822082627444e-21,1
Zfp148,Appl1,7.92241708407438e-21,1
Dnmt1,Prc1,9.68887979173718e-21,-1
Apex1,Uba2,1.0348973967363673e-20,-1
Ppp1r8,Rpl8,1.0480589441188613e-20,-1
Ddx1,Larp7,1.3998169319006486e-20,-1
Nolc1,Prmt1,1.5095774058134308e-20,-1
Ppp1r8,Ska3,1.7579750245323188e-20,-1
Hnrnpab,Atic,2.42315988408471e-20,-1
Hdac3,Plk1,2.871718047100972e-20,-1
Taf1d,Robo4,2.904838920350202e-20,-1
Taf11,Bag5,3.1400648409475905e-20,1
