source,target,p-value,model
Hnrnpab,Orc6,1.0958225729180892e-05,-1
Onecut2,Crot,1.1075353448544644e-05,-1
Sarnp,Polr2h,1.126973958868114e-05,-1
Ubp1,Znhit1,1.1371483004155374e-05,-1
Smarce1,Dcaf11,1.1472950860112322e-05,-1
Ctnnb1,Tagln,1.163088849624949e-05,1
Hnrnpab,Nop56,1.1730561480408796e-05,-1
C1d,Anks1,1.191059732642811e-05,-1
Rnf4,Nol11,1.2234863205380115e-05,-1
Sarnp,Fbl,1.2877550809951266e-05,-1
Lmo4,Csrp1,1.3083424280485831e-05,-1
Irf2,B2m,1.313400362260104e-05,-1
Sarnp,Dkc1,1.3240447241722085e-05,-1
Gtf3a,C4b,1.3303634586533022e-05,1
Srrt,Ak3,1.351545082469533e-05,1
Cebpa,Agpat2,1.3828451400263816e-05,-1
Gtf2e1,Ptrh2,1.5157889418219991e-05,-1
Trim27,Ak3,1.5521030837266957e-05,-1
Tmpo,Dnajc9,1.5534746654340234e-05,-1
Taf1d,Snrnp40,1.568452446979804e-05,-1
Phf5a,Tsr1,1.582358861877734e-05,-1
Zbtb48,Ubr2,1.6381234559877212e-05,-1
Zfp143,Dck,1.6809790632156425e-05,1
Sarnp,Mtf2,1.6881522974686245e-05,-1
Rbmxl1,Cdt1,1.7380264425177903e-05,-1
Irf5,Tcirg1,1.7802678789574028e-05,-1
Gon4l,Cpped1,1.7982955424004867e-05,-1
Pa2g4,Cct6a,2.018393174064004e-05,-1
Myst4,Sec22a,2.1706630408324845e-05,-1
Ruvbl2,Ssna1,2.1861653542683912e-05,-1
Ruvbl2,Rcc1,2.199750646646322e-05,-1
Npm1,Atad2,2.2035058501723778e-05,-1
Sarnp,Snrpd1,2.215975987547738e-05,-1
Ppp1r8,Alyref,2.2204978886178393e-05,-1
Ppp1r8,Syncrip,2.220857192045297e-05,-1
Nolc1,Rsl1d1,2.263610355720857e-05,-1
Mll2,Zmiz2,2.278052960534324e-05,1
Srf,Polr2a,2.300432661849932e-05,-1
Atf5,Akt1s1,2.32596888895799e-05,-1
Phf5a,Smpd4,2.3303894902047726e-05,-1
Ctcf,Ppig,2.349806489841522e-05,-1
Tcf3,Mbd3,2.3647205486026407e-05,-1
Mbd3,Tcf3,2.3647205486026624e-05,-1
