GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Psmc1,0.002190888,0.09335281,0.002190888,0.09335281,0.002190888,0.09335281,0.0021908581,0.09335279,0.002190888,0.09335282,0.002190888,0.09335285,0.002190888,0.09335278
Psmc2,-0.0372798,-0.0733183,-0.02863136,-0.018277746,-0.021866605,0.08336206,-0.02186659,0.08336208,-0.021866605,0.08336211,-0.02186662,0.08336208,-0.02186665,0.083362035
Psmc3,0.07609871,0.038352456,0.017432123,-0.22266687,0.04272151,-0.19010577,0.01931253,-0.22166885,0.048996,-0.1611429,0.035160422,-0.23822625,0.0371221,-0.23897281
Psmc4,-0.029948443,0.074672386,-0.031695664,0.0066952417,-0.031695634,0.0066952603,-0.030818686,0.007909934,-0.030818671,0.007909818,-0.031695664,0.0066952193,-0.035056412,-0.028872147
Psmc5,0.11773658,0.022026887,0.10756919,-0.066225916,0.11927369,0.06600446,0.11622405,0.04070678,0.11622402,0.04070682,0.11521453,0.04017094,0.11429384,0.041502506
Psmc6,0.14594156,0.11298252,0.13346681,-0.039819572,0.13268533,-0.044793256,0.13268533,-0.044793274,0.13346687,-0.039819535,0.13346681,-0.039819542,0.1275338,-0.07757833
Psmd1,-0.040673673,-0.019551545,-0.040673673,-0.01955152,-0.040673673,-0.019551545,-0.04067366,-0.01955159,-0.040673673,-0.019551534,-0.040673673,-0.01955156,-0.04067366,-0.019551568
Psmd10,0.0989669,0.07617491,0.08518013,0.093121134,0.08518013,0.093121134,0.08518013,0.093121186,0.085180104,0.09312118,0.08518013,0.09312117,0.085180104,0.093121104
Psmd12,0.17487785,0.06846913,0.15133843,-0.089046046,0.16986695,0.009672003,0.1521698,-0.08860479,0.15588802,-0.09186818,0.15940276,-0.06464993,0.15515289,-0.09196265
Psmd14,0.35037294,0.22880004,0.28212658,-0.20076653,0.3172026,-0.1556045,0.28682205,-0.19044237,0.32799253,-0.10649382,0.30671546,-0.22234704,0.30966893,-0.22710538
Psmd5,-0.016147941,0.0770571,-0.016147941,0.07705719,-0.016147941,0.07705718,-0.016147941,0.07705717,-0.016147941,0.077057146,-0.016147941,0.077057146,-0.016147941,0.07705708
Psmd7,-0.022654444,-0.08120192,-0.022654414,-0.08120189,-0.010566086,0.08702633,-0.010566086,0.08702633,-0.010566086,0.08702633,-0.010566086,0.08702633,-0.010566086,0.08702633
Psmd8,0.1003097,-0.04734819,0.109933585,0.013900223,0.109933525,0.01390024,0.109933525,0.013900225,0.109933525,0.013900264,0.109526664,0.011310563,0.11495364,0.048876807
Psme1,0.23654857,0.019201886,0.24380502,0.13182507,0.24742094,0.18615392,0.24742094,0.18615396,0.24742094,0.18615392,0.24742094,0.18615392,0.24742094,0.1861539
Psme2,0.23591116,0.039297637,0.22108445,0.19168058,0.23296669,0.19593336,0.21249574,0.11503933,0.23219386,0.09775118,0.21249574,0.11503938,0.24329838,0.19251524
Psme3,0.04153776,0.111665346,0.02943191,-0.12360532,0.02943191,-0.1236053,0.02943191,-0.1236053,0.02943191,-0.12360536,0.02943191,-0.12360533,0.025998116,-0.040695872
Psme4,0.012950659,0.094338275,0.012950629,0.09433832,0.012950629,0.09433829,0.012950659,0.09433829,0.012950659,0.09433832,0.012950629,0.09433832,0.012950629,0.09433832
Psmf1,0.11625433,0.135459,0.11625433,0.13545895,0.11625436,0.13545899,0.11625433,0.13545892,0.11625433,0.13545904,0.11625433,0.13545899,0.1162543,0.13545898
Psmg1,0.16015598,0.11486433,0.14596665,0.004871252,0.15350711,0.05286041,0.14651781,0.0051637758,0.14651781,0.005163663,0.15016401,0.00922211,0.13297996,-0.022750944
